points,production,tradeGain,robberCardsGain,totalGain,tradeLoss,robberCardsLoss,tribute,totalLoss,totalAvailable
5,38,5,2,45,10,2,4,16,29
9,48,8,6,62,11,1,8,20,42
10,44,14,9,67,24,4,0,28,39
5,42,12,0,54,24,6,0,30,24
10,60,15,16,91,28,10,0,38,53
6,57,12,1,70,26,6,8,40,30
4,44,10,8,62,18,6,8,32,30
9,61,16,11,88,25,6,4,35,53
5,44,5,5,54,11,1,9,21,33
10,41,4,9,54,8,3,0,11,43
7,47,6,5,58,10,7,0,17,41
7,53,2,2,57,4,4,8,16,41
7,64,15,12,91,23,5,12,40,51
10,97,21,15,133,47,15,10,72,61
9,61,18,7,86,33,5,0,38,48
9,75,11,8,94,37,19,0,56,38
8,70,17,5,92,33,11,0,44,48
10,56,4,16,76,14,7,4,25,51
3,30,2,7,39,5,4,4,13,26
7,48,4,5,57,6,10,9,25,32
6,48,6,3,57,13,1,0,14,43
6,35,7,2,44,13,3,0,16,28
6,35,2,1,38,6,1,4,11,27
10,56,7,9,72,18,2,4,24,48
10,43,9,13,65,19,6,0,25,40
6,31,5,11,47,14,1,0,15,32
4,31,1,4,36,4,11,0,15,21
4,30,5,5,40,10,9,0,19,21
8,48,6,1,55,10,9,0,19,36
11,61,10,9,80,16,2,4,22,58
7,41,12,2,55,13,3,4,20,35
6,48,7,6,61,13,2,5,20,41
6,58,8,7,73,13,5,13,31,42
9,87,14,4,105,32,10,8,50,55
9,61,18,9,88,37,5,0,42,46
10,61,7,9,77,11,7,11,29,48
9,92,16,14,122,38,7,8,53,69
9,71,17,17,105,31,7,12,50,55
10,92,9,14,115,26,21,9,56,59
9,84,12,11,107,20,9,8,37,70
6,49,6,2,57,15,4,4,23,34
5,34,5,5,44,15,0,8,23,21
10,71,8,3,82,18,12,12,42,40
5,38,4,6,48,10,0,13,23,25
5,46,9,3,58,17,8,5,30,28
6,39,6,10,55,12,7,4,23,32
6,56,17,2,75,34,2,10,46,29
10,59,14,14,87,19,2,24,45,42
6,43,5,2,50,9,4,11,24,26
6,39,4,1,44,10,2,4,16,28
3,25,5,4,34,11,1,0,12,22
10,59,15,5,79,27,5,0,32,47
4,53,9,8,70,11,7,17,35,35
10,92,4,6,102,10,19,10,39,63
5,50,12,5,67,25,2,4,31,36
8,55,18,17,90,33,2,4,39,51
9,61,9,0,70,11,6,4,21,49
8,59,4,1,64,10,2,4,16,48
6,37,5,6,48,12,0,9,21,27
10,51,7,8,66,6,1,14,21,45
7,47,15,1,63,29,0,0,29,34
10,64,14,4,82,31,4,0,35,47
7,47,11,3,61,18,1,0,19,42
7,46,12,2,60,16,5,0,21,39
6,33,4,7,44,9,4,0,13,31
7,51,4,10,65,10,5,12,27,38
5,47,5,2,54,9,9,4,22,32
10,63,10,15,88,25,10,9,44,44
6,59,7,4,70,22,5,8,35,35
9,55,7,5,67,22,3,0,25,42
6,47,12,2,61,23,2,0,25,36
10,73,17,15,105,42,8,0,50,55
10,52,7,6,65,8,5,10,23,42
4,37,3,4,44,9,5,0,14,30
5,41,9,5,55,24,3,0,27,28
8,53,5,3,61,19,1,4,24,37
6,57,16,8,81,29,6,6,41,40
10,78,17,13,108,35,5,12,52,56
7,79,11,1,91,30,11,4,45,46
6,41,3,4,48,8,2,4,14,34
8,59,14,0,73,28,1,0,29,44
7,22,13,2,37,15,1,0,16,21
10,56,7,3,66,11,3,0,14,52
6,28,6,1,35,9,1,0,10,25
9,62,11,5,78,18,4,8,30,48
10,50,8,10,68,12,3,4,19,49
4,43,9,2,54,16,3,4,23,31
6,43,6,0,49,15,7,4,26,23
4,28,8,5,41,14,3,0,17,24
7,44,3,13,60,3,10,13,26,34
10,65,12,8,85,25,7,8,40,45
6,55,8,3,66,19,5,0,24,42
10,58,17,4,79,22,3,14,39,40
7,34,11,8,53,16,2,0,18,35
9,64,17,4,85,32,6,8,46,39
6,60,11,3,74,28,8,4,40,34
7,50,4,9,63,3,14,4,21,42
7,59,10,5,74,25,6,5,36,38
10,61,9,20,90,28,6,0,34,56
7,73,14,6,93,32,4,18,54,39
10,54,10,6,70,22,3,0,25,45
7,46,6,3,55,9,6,0,15,40
3,19,3,3,25,7,0,4,11,14
4,30,6,3,39,11,0,4,15,24
7,62,9,10,81,17,13,0,30,51
7,47,8,4,59,16,7,0,23,36
10,63,12,16,91,26,3,10,39,52
4,38,10,2,50,17,5,5,27,23
6,35,9,8,52,14,0,4,18,34
10,50,3,3,56,8,6,4,18,38
5,62,13,4,79,25,3,9,37,42
5,35,12,0,47,22,2,0,24,23
4,24,6,2,32,13,0,0,13,19
4,36,2,3,41,8,4,4,16,25
10,46,7,6,59,13,3,4,20,39
5,37,4,3,44,8,5,0,13,31
9,58,7,6,71,14,6,5,25,46
7,50,6,3,59,22,2,0,24,35
10,75,9,8,92,28,2,12,42,50
7,87,19,2,108,45,5,12,62,46
10,42,14,18,74,24,4,5,33,41
8,59,6,1,66,17,9,4,30,36
6,39,3,3,45,9,3,0,12,33
5,43,1,6,50,3,12,9,24,26
7,52,6,15,73,21,9,4,34,39
10,65,14,8,87,39,7,0,46,41
7,56,4,15,75,16,10,0,26,49
6,55,6,9,70,16,11,0,27,43
6,44,8,6,58,19,3,4,26,32
6,34,7,15,56,17,3,0,20,36
6,70,6,4,80,12,16,16,44,36
10,62,10,8,80,21,11,6,38,42
5,29,3,6,38,6,2,4,12,26
6,68,5,18,91,17,4,30,51,40
7,52,5,8,65,6,7,13,26,39
10,82,9,6,97,24,15,9,48,49
5,37,10,2,49,22,0,8,30,19
10,71,12,8,91,23,5,5,33,58
7,34,2,7,43,6,4,0,10,33
8,51,4,5,60,9,7,5,21,39
4,31,16,1,48,21,3,4,28,20
10,41,9,0,50,11,4,0,15,35
6,46,11,2,59,20,0,0,20,39
5,23,10,5,38,13,1,0,14,24
8,55,9,11,75,18,5,0,23,52
9,69,7,6,82,20,8,5,33,49
10,83,5,17,105,15,13,0,28,77
8,55,12,3,70,17,1,0,18,52
6,46,4,8,58,13,0,4,17,41
9,55,11,9,75,23,4,5,32,43
11,72,17,4,93,32,9,0,41,52
7,68,8,3,79,15,5,10,30,49
7,50,4,4,58,10,5,13,28,30
10,43,4,18,65,7,9,5,21,44
3,19,4,0,23,8,3,4,15,8
5,39,6,9,54,13,6,0,19,35
6,38,5,9,52,14,2,4,20,32
7,68,11,16,95,31,5,13,49,46
6,60,6,2,68,18,11,8,37,31
10,67,3,4,74,12,9,9,30,44
6,53,8,3,64,18,2,5,25,39
4,38,2,10,50,8,11,4,23,27
10,59,10,16,85,17,8,9,34,51
8,54,6,3,63,13,8,0,21,42
7,51,7,3,61,14,10,4,28,33
10,67,5,12,84,11,8,16,35,49
6,54,4,3,61,5,5,8,18,43
6,40,7,7,54,16,0,8,24,30
10,60,15,5,80,24,4,5,33,47
7,47,13,9,69,21,4,9,34,35
8,71,11,5,87,26,8,8,42,45
2,31,7,9,47,10,0,14,24,23
8,86,17,12,115,43,15,4,62,53
5,47,9,16,72,16,8,8,32,40
10,77,19,7,103,47,8,4,59,44
9,56,13,4,73,29,0,4,33,40
7,46,10,2,58,25,4,0,29,29
10,55,7,11,73,15,8,0,23,50
6,26,4,5,35,4,0,4,8,27
6,47,2,4,53,5,4,6,15,38
5,36,6,6,48,11,6,0,17,31
6,53,8,4,65,18,7,4,29,36
10,46,9,10,65,14,4,0,18,47
8,70,7,6,83,14,3,33,50,33
5,32,12,2,46,23,1,0,24,22
12,61,7,11,79,19,4,0,23,56
6,43,6,4,53,14,2,5,21,32
6,37,7,0,44,16,2,4,22,22
11,72,9,13,94,23,8,4,35,59
9,67,10,1,78,28,9,0,37,41
6,43,7,12,62,7,2,0,9,53
7,31,3,0,34,6,1,0,7,27
4,47,6,5,58,17,5,8,30,28
10,77,15,5,97,33,9,8,50,47
4,29,9,8,46,10,5,8,23,23
5,41,8,11,60,22,4,0,26,34
5,41,6,7,54,14,6,4,24,30
10,64,5,9,78,15,6,10,31,47
4,44,7,4,55,22,1,8,31,24
8,57,3,5,65,2,12,8,22,43
