points,production,tradeGain,robberCardsGain,tradeLoss,robberCardsLoss,tribute
5,38,5,2,10,2,4
9,48,8,6,11,1,8
10,44,14,9,24,4,0
5,42,12,0,24,6,0
10,60,15,16,28,10,0
6,57,12,1,26,6,8
4,44,10,8,18,6,8
9,61,16,11,25,6,4
5,44,5,5,11,1,9
10,41,4,9,8,3,0
7,47,6,5,10,7,0
7,53,2,2,4,4,8
7,64,15,12,23,5,12
10,97,21,15,47,15,10
9,61,18,7,33,5,0
9,75,11,8,37,19,0
8,70,17,5,33,11,0
10,56,4,16,14,7,4
3,30,2,7,5,4,4
7,48,4,5,6,10,9
6,48,6,3,13,1,0
6,35,7,2,13,3,0
6,35,2,1,6,1,4
10,56,7,9,18,2,4
10,43,9,13,19,6,0
6,31,5,11,14,1,0
4,31,1,4,4,11,0
4,30,5,5,10,9,0
8,48,6,1,10,9,0
11,61,10,9,16,2,4
7,41,12,2,13,3,4
6,48,7,6,13,2,5
6,58,8,7,13,5,13
9,87,14,4,32,10,8
9,61,18,9,37,5,0
10,61,7,9,11,7,11
9,92,16,14,38,7,8
9,71,17,17,31,7,12
10,92,9,14,26,21,9
9,84,12,11,20,9,8
6,49,6,2,15,4,4
5,34,5,5,15,0,8
10,71,8,3,18,12,12
5,38,4,6,10,0,13
5,46,9,3,17,8,5
6,39,6,10,12,7,4
6,56,17,2,34,2,10
10,59,14,14,19,2,24
6,43,5,2,9,4,11
6,39,4,1,10,2,4
3,25,5,4,11,1,0
10,59,15,5,27,5,0
4,53,9,8,11,7,17
10,92,4,6,10,19,10
5,50,12,5,25,2,4
8,55,18,17,33,2,4
9,61,9,0,11,6,4
8,59,4,1,10,2,4
6,37,5,6,12,0,9
10,51,7,8,6,1,14
7,47,15,1,29,0,0
10,64,14,4,31,4,0
7,47,11,3,18,1,0
7,46,12,2,16,5,0
6,33,4,7,9,4,0
7,51,4,10,10,5,12
5,47,5,2,9,9,4
10,63,10,15,25,10,9
6,59,7,4,22,5,8
9,55,7,5,22,3,0
6,47,12,2,23,2,0
10,73,17,15,42,8,0
10,52,7,6,8,5,10
4,37,3,4,9,5,0
5,41,9,5,24,3,0
8,53,5,3,19,1,4
6,57,16,8,29,6,6
10,78,17,13,35,5,12
7,79,11,1,30,11,4
6,41,3,4,8,2,4
8,59,14,0,28,1,0
7,22,13,2,15,1,0
10,56,7,3,11,3,0
6,28,6,1,9,1,0
9,62,11,5,18,4,8
10,50,8,10,12,3,4
4,43,9,2,16,3,4
6,43,6,0,15,7,4
4,28,8,5,14,3,0
7,44,3,13,3,10,13
10,65,12,8,25,7,8
6,55,8,3,19,5,0
10,58,17,4,22,3,14
7,34,11,8,16,2,0
9,64,17,4,32,6,8
6,60,11,3,28,8,4
7,50,4,9,3,14,4
7,59,10,5,25,6,5
10,61,9,20,28,6,0
7,73,14,6,32,4,18
10,54,10,6,22,3,0
